id,read1,read2,name,output,trim_low_abundance_kmers,dna,protein,ksizes,scaled
CMS_002_34a_Rb_S168_L004,s3://czbiohub-mosquito/sequences/CMS002_fastq.gz/CMS_002_34a_Rb_S168_L004_R1_001.fastq.gz,s3://czbiohub-mosquito/sequences/CMS002_fastq.gz/CMS_002_34a_Rb_S168_L004_R2_001.fastq.gz,CMS_002_34a_Rb_S168_L004,s3://czbiohub-mosquito/references/sourmash/signatures/CMS_002_34a_Rb_S168_L004.sig,True,True,False,"21,31,51",500
CMS_002_35a_Rb_S169_L004,s3://czbiohub-mosquito/sequences/CMS002_fastq.gz/CMS_002_35a_Rb_S169_L004_R1_001.fastq.gz,s3://czbiohub-mosquito/sequences/CMS002_fastq.gz/CMS_002_35a_Rb_S169_L004_R2_001.fastq.gz,CMS_002_35a_Rb_S169_L004,s3://czbiohub-mosquito/references/sourmash/signatures/CMS_002_35a_Rb_S169_L004.sig,True,True,False,"21,31,51",500
CMS_002_36a_Rb_S170_L004,s3://czbiohub-mosquito/sequences/CMS002_fastq.gz/CMS_002_36a_Rb_S170_L004_R1_001.fastq.gz,s3://czbiohub-mosquito/sequences/CMS002_fastq.gz/CMS_002_36a_Rb_S170_L004_R2_001.fastq.gz,CMS_002_36a_Rb_S170_L004,s3://czbiohub-mosquito/references/sourmash/signatures/CMS_002_36a_Rb_S170_L004.sig,True,True,False,"21,31,51",500
CMS_002_37a_Rb_S171_L004,s3://czbiohub-mosquito/sequences/CMS002_fastq.gz/CMS_002_37a_Rb_S171_L004_R1_001.fastq.gz,s3://czbiohub-mosquito/sequences/CMS002_fastq.gz/CMS_002_37a_Rb_S171_L004_R2_001.fastq.gz,CMS_002_37a_Rb_S171_L004,s3://czbiohub-mosquito/references/sourmash/signatures/CMS_002_37a_Rb_S171_L004.sig,True,True,False,"21,31,51",500
CMS_002_38a_Rb_S172_L004,s3://czbiohub-mosquito/sequences/CMS002_fastq.gz/CMS_002_38a_Rb_S172_L004_R1_001.fastq.gz,s3://czbiohub-mosquito/sequences/CMS002_fastq.gz/CMS_002_38a_Rb_S172_L004_R2_001.fastq.gz,CMS_002_38a_Rb_S172_L004,s3://czbiohub-mosquito/references/sourmash/signatures/CMS_002_38a_Rb_S172_L004.sig,True,True,False,"21,31,51",500
CMS_002_39a_Rb_S173_L004,s3://czbiohub-mosquito/sequences/CMS002_fastq.gz/CMS_002_39a_Rb_S173_L004_R1_001.fastq.gz,s3://czbiohub-mosquito/sequences/CMS002_fastq.gz/CMS_002_39a_Rb_S173_L004_R2_001.fastq.gz,CMS_002_39a_Rb_S173_L004,s3://czbiohub-mosquito/references/sourmash/signatures/CMS_002_39a_Rb_S173_L004.sig,True,True,False,"21,31,51",500
CMS_002_40a_Rb_S174_L004,s3://czbiohub-mosquito/sequences/CMS002_fastq.gz/CMS_002_40a_Rb_S174_L004_R1_001.fastq.gz,s3://czbiohub-mosquito/sequences/CMS002_fastq.gz/CMS_002_40a_Rb_S174_L004_R2_001.fastq.gz,CMS_002_40a_Rb_S174_L004,s3://czbiohub-mosquito/references/sourmash/signatures/CMS_002_40a_Rb_S174_L004.sig,True,True,False,"21,31,51",500
CMS_002_41a_Rb_S176_L004,s3://czbiohub-mosquito/sequences/CMS002_fastq.gz/CMS_002_41a_Rb_S176_L004_R1_001.fastq.gz,s3://czbiohub-mosquito/sequences/CMS002_fastq.gz/CMS_002_41a_Rb_S176_L004_R2_001.fastq.gz,CMS_002_41a_Rb_S176_L004,s3://czbiohub-mosquito/references/sourmash/signatures/CMS_002_41a_Rb_S176_L004.sig,True,True,False,"21,31,51",500
CMS_002_42a_Rb_S177_L004,s3://czbiohub-mosquito/sequences/CMS002_fastq.gz/CMS_002_42a_Rb_S177_L004_R1_001.fastq.gz,s3://czbiohub-mosquito/sequences/CMS002_fastq.gz/CMS_002_42a_Rb_S177_L004_R2_001.fastq.gz,CMS_002_42a_Rb_S177_L004,s3://czbiohub-mosquito/references/sourmash/signatures/CMS_002_42a_Rb_S177_L004.sig,True,True,False,"21,31,51",500
CMS_002_44a_Rb_S178_L004,s3://czbiohub-mosquito/sequences/CMS002_fastq.gz/CMS_002_44a_Rb_S178_L004_R1_001.fastq.gz,s3://czbiohub-mosquito/sequences/CMS002_fastq.gz/CMS_002_44a_Rb_S178_L004_R2_001.fastq.gz,CMS_002_44a_Rb_S178_L004,s3://czbiohub-mosquito/references/sourmash/signatures/CMS_002_44a_Rb_S178_L004.sig,True,True,False,"21,31,51",500
