id,read1,read2,name,output,trim_low_abundance_kmers,dna,protein,ksizes,scaled
CMS_053_RNA_A_S8,s3://czbiohub-mosquito/sequences/CMS001_fastq.gz/CMS_053_RNA_A_S8_R1_001.fastq.gz,s3://czbiohub-mosquito/sequences/CMS001_fastq.gz/CMS_053_RNA_A_S8_R2_001.fastq.gz,CMS_053_RNA_A_S8,s3://czbiohub-mosquito/references/sourmash/signatures/CMS_053_RNA_A_S8.sig,True,True,False,"21,31,51",500
CMS_054_RNA_A_S11,s3://czbiohub-mosquito/sequences/CMS001_fastq.gz/CMS_054_RNA_A_S11_R1_001.fastq.gz,s3://czbiohub-mosquito/sequences/CMS001_fastq.gz/CMS_054_RNA_A_S11_R2_001.fastq.gz,CMS_054_RNA_A_S11,s3://czbiohub-mosquito/references/sourmash/signatures/CMS_054_RNA_A_S11.sig,True,True,False,"21,31,51",500
CMS_055_RNA_A_S9,s3://czbiohub-mosquito/sequences/CMS001_fastq.gz/CMS_055_RNA_A_S9_R1_001.fastq.gz,s3://czbiohub-mosquito/sequences/CMS001_fastq.gz/CMS_055_RNA_A_S9_R2_001.fastq.gz,CMS_055_RNA_A_S9,s3://czbiohub-mosquito/references/sourmash/signatures/CMS_055_RNA_A_S9.sig,True,True,False,"21,31,51",500
CMS_056_RNA_A_S10,s3://czbiohub-mosquito/sequences/CMS001_fastq.gz/CMS_056_RNA_A_S10_R1_001.fastq.gz,s3://czbiohub-mosquito/sequences/CMS001_fastq.gz/CMS_056_RNA_A_S10_R2_001.fastq.gz,CMS_056_RNA_A_S10,s3://czbiohub-mosquito/references/sourmash/signatures/CMS_056_RNA_A_S10.sig,True,True,False,"21,31,51",500
CMS_057_RNA_A_S11,s3://czbiohub-mosquito/sequences/CMS001_fastq.gz/CMS_057_RNA_A_S11_R1_001.fastq.gz,s3://czbiohub-mosquito/sequences/CMS001_fastq.gz/CMS_057_RNA_A_S11_R2_001.fastq.gz,CMS_057_RNA_A_S11,s3://czbiohub-mosquito/references/sourmash/signatures/CMS_057_RNA_A_S11.sig,True,True,False,"21,31,51",500
CMS_058_RNA_A_S9,s3://czbiohub-mosquito/sequences/CMS001_fastq.gz/CMS_058_RNA_A_S9_R1_001.fastq.gz,s3://czbiohub-mosquito/sequences/CMS001_fastq.gz/CMS_058_RNA_A_S9_R2_001.fastq.gz,CMS_058_RNA_A_S9,s3://czbiohub-mosquito/references/sourmash/signatures/CMS_058_RNA_A_S9.sig,True,True,False,"21,31,51",500
CMS_059_RNA_A_S10,s3://czbiohub-mosquito/sequences/CMS001_fastq.gz/CMS_059_RNA_A_S10_R1_001.fastq.gz,s3://czbiohub-mosquito/sequences/CMS001_fastq.gz/CMS_059_RNA_A_S10_R2_001.fastq.gz,CMS_059_RNA_A_S10,s3://czbiohub-mosquito/references/sourmash/signatures/CMS_059_RNA_A_S10.sig,True,True,False,"21,31,51",500
CMS_060_RNA_A_S12,s3://czbiohub-mosquito/sequences/CMS001_fastq.gz/CMS_060_RNA_A_S12_R1_001.fastq.gz,s3://czbiohub-mosquito/sequences/CMS001_fastq.gz/CMS_060_RNA_A_S12_R2_001.fastq.gz,CMS_060_RNA_A_S12,s3://czbiohub-mosquito/references/sourmash/signatures/CMS_060_RNA_A_S12.sig,True,True,False,"21,31,51",500
CMS_water1_S11,s3://czbiohub-mosquito/sequences/CMS001_fastq.gz/CMS_water1_S11_R1_001.fastq.gz,s3://czbiohub-mosquito/sequences/CMS001_fastq.gz/CMS_water1_S11_R2_001.fastq.gz,CMS_water1_S11,s3://czbiohub-mosquito/references/sourmash/signatures/CMS_water1_S11.sig,True,True,False,"21,31,51",500
CMS_water2_S24,s3://czbiohub-mosquito/sequences/CMS001_fastq.gz/CMS_water2_S24_R1_001.fastq.gz,s3://czbiohub-mosquito/sequences/CMS001_fastq.gz/CMS_water2_S24_R2_001.fastq.gz,CMS_water2_S24,s3://czbiohub-mosquito/references/sourmash/signatures/CMS_water2_S24.sig,True,True,False,"21,31,51",500
