id,read1,read2,name,output,trim_low_abundance_kmers,dna,protein,ksizes,scaled
CMS_011_RNA_A_S4,s3://czbiohub-mosquito/sequences/CMS001_fastq.gz/CMS_011_RNA_A_S4_R1_001.fastq.gz,s3://czbiohub-mosquito/sequences/CMS001_fastq.gz/CMS_011_RNA_A_S4_R2_001.fastq.gz,CMS_011_RNA_A_S4,s3://czbiohub-mosquito/references/sourmash/signatures/CMS_011_RNA_A_S4.sig,True,True,False,"21,31,51",500
CMS_012_RNA_A_S4,s3://czbiohub-mosquito/sequences/CMS001_fastq.gz/CMS_012_RNA_A_S4_R1_001.fastq.gz,s3://czbiohub-mosquito/sequences/CMS001_fastq.gz/CMS_012_RNA_A_S4_R2_001.fastq.gz,CMS_012_RNA_A_S4,s3://czbiohub-mosquito/references/sourmash/signatures/CMS_012_RNA_A_S4.sig,True,True,False,"21,31,51",500
CMS_013_RNA_A_S5,s3://czbiohub-mosquito/sequences/CMS001_fastq.gz/CMS_013_RNA_A_S5_R1_001.fastq.gz,s3://czbiohub-mosquito/sequences/CMS001_fastq.gz/CMS_013_RNA_A_S5_R2_001.fastq.gz,CMS_013_RNA_A_S5,s3://czbiohub-mosquito/references/sourmash/signatures/CMS_013_RNA_A_S5.sig,True,True,False,"21,31,51",500
CMS_014_RNA_A_S5,s3://czbiohub-mosquito/sequences/CMS001_fastq.gz/CMS_014_RNA_A_S5_R1_001.fastq.gz,s3://czbiohub-mosquito/sequences/CMS001_fastq.gz/CMS_014_RNA_A_S5_R2_001.fastq.gz,CMS_014_RNA_A_S5,s3://czbiohub-mosquito/references/sourmash/signatures/CMS_014_RNA_A_S5.sig,True,True,False,"21,31,51",500
CMS_016_RNA_A_S6,s3://czbiohub-mosquito/sequences/CMS001_fastq.gz/CMS_016_RNA_A_S6_R1_001.fastq.gz,s3://czbiohub-mosquito/sequences/CMS001_fastq.gz/CMS_016_RNA_A_S6_R2_001.fastq.gz,CMS_016_RNA_A_S6,s3://czbiohub-mosquito/references/sourmash/signatures/CMS_016_RNA_A_S6.sig,True,True,False,"21,31,51",500
CMS_018_RNA_A_S14,s3://czbiohub-mosquito/sequences/CMS001_fastq.gz/CMS_018_RNA_A_S14_R1_001.fastq.gz,s3://czbiohub-mosquito/sequences/CMS001_fastq.gz/CMS_018_RNA_A_S14_R2_001.fastq.gz,CMS_018_RNA_A_S14,s3://czbiohub-mosquito/references/sourmash/signatures/CMS_018_RNA_A_S14.sig,True,True,False,"21,31,51",500
CMS_019_RNA_A_S14,s3://czbiohub-mosquito/sequences/CMS001_fastq.gz/CMS_019_RNA_A_S14_R1_001.fastq.gz,s3://czbiohub-mosquito/sequences/CMS001_fastq.gz/CMS_019_RNA_A_S14_R2_001.fastq.gz,CMS_019_RNA_A_S14,s3://czbiohub-mosquito/references/sourmash/signatures/CMS_019_RNA_A_S14.sig,True,True,False,"21,31,51",500
CMS_020_RNA_A_S15,s3://czbiohub-mosquito/sequences/CMS001_fastq.gz/CMS_020_RNA_A_S15_R1_001.fastq.gz,s3://czbiohub-mosquito/sequences/CMS001_fastq.gz/CMS_020_RNA_A_S15_R2_001.fastq.gz,CMS_020_RNA_A_S15,s3://czbiohub-mosquito/references/sourmash/signatures/CMS_020_RNA_A_S15.sig,True,True,False,"21,31,51",500
CMS_021_RNA_A_S16,s3://czbiohub-mosquito/sequences/CMS001_fastq.gz/CMS_021_RNA_A_S16_R1_001.fastq.gz,s3://czbiohub-mosquito/sequences/CMS001_fastq.gz/CMS_021_RNA_A_S16_R2_001.fastq.gz,CMS_021_RNA_A_S16,s3://czbiohub-mosquito/references/sourmash/signatures/CMS_021_RNA_A_S16.sig,True,True,False,"21,31,51",500
CMS_022_RNA_A_S6,s3://czbiohub-mosquito/sequences/CMS001_fastq.gz/CMS_022_RNA_A_S6_R1_001.fastq.gz,s3://czbiohub-mosquito/sequences/CMS001_fastq.gz/CMS_022_RNA_A_S6_R2_001.fastq.gz,CMS_022_RNA_A_S6,s3://czbiohub-mosquito/references/sourmash/signatures/CMS_022_RNA_A_S6.sig,True,True,False,"21,31,51",500
