id,read1,read2,name,output,trim_low_abundance_kmers,dna,protein,ksizes,scaled
CMS_water3_Qiagen_S26,s3://czbiohub-mosquito/sequences/CMS001_fastq.gz/CMS_water3_Qiagen_S26_R1_001.fastq.gz,s3://czbiohub-mosquito/sequences/CMS001_fastq.gz/CMS_water3_Qiagen_S26_R2_001.fastq.gz,CMS_water3_Qiagen_S26,s3://czbiohub-mosquito/references/sourmash/signatures/CMS_water3_Qiagen_S26.sig,True,True,False,"21,31,51",500
CMS_water4_Zymo_S27,s3://czbiohub-mosquito/sequences/CMS001_fastq.gz/CMS_water4_Zymo_S27_R1_001.fastq.gz,s3://czbiohub-mosquito/sequences/CMS001_fastq.gz/CMS_water4_Zymo_S27_R2_001.fastq.gz,CMS_water4_Zymo_S27,s3://czbiohub-mosquito/references/sourmash/signatures/CMS_water4_Zymo_S27.sig,True,True,False,"21,31,51",500
CMS_water5_RNA_A_S12,s3://czbiohub-mosquito/sequences/CMS001_fastq.gz/CMS_water5_RNA_A_S12_R1_001.fastq.gz,s3://czbiohub-mosquito/sequences/CMS001_fastq.gz/CMS_water5_RNA_A_S12_R2_001.fastq.gz,CMS_water5_RNA_A_S12,s3://czbiohub-mosquito/references/sourmash/signatures/CMS_water5_RNA_A_S12.sig,True,True,False,"21,31,51",500
Undetermined_S0,s3://czbiohub-mosquito/sequences/CMS001_fastq.gz/Undetermined_S0_R1_001.fastq.gz,s3://czbiohub-mosquito/sequences/CMS001_fastq.gz/Undetermined_S0_R2_001.fastq.gz,Undetermined_S0,s3://czbiohub-mosquito/references/sourmash/signatures/Undetermined_S0.sig,True,True,False,"21,31,51",500
CMS_002_10a_Rb_S119_L004,s3://czbiohub-mosquito/sequences/CMS002_fastq.gz/CMS_002_10a_Rb_S119_L004_R1_001.fastq.gz,s3://czbiohub-mosquito/sequences/CMS002_fastq.gz/CMS_002_10a_Rb_S119_L004_R2_001.fastq.gz,CMS_002_10a_Rb_S119_L004,s3://czbiohub-mosquito/references/sourmash/signatures/CMS_002_10a_Rb_S119_L004.sig,True,True,False,"21,31,51",500
CMS_002_13a_Rb_S120_L004,s3://czbiohub-mosquito/sequences/CMS002_fastq.gz/CMS_002_13a_Rb_S120_L004_R1_001.fastq.gz,s3://czbiohub-mosquito/sequences/CMS002_fastq.gz/CMS_002_13a_Rb_S120_L004_R2_001.fastq.gz,CMS_002_13a_Rb_S120_L004,s3://czbiohub-mosquito/references/sourmash/signatures/CMS_002_13a_Rb_S120_L004.sig,True,True,False,"21,31,51",500
CMS_002_16a_Rb_S121_L004,s3://czbiohub-mosquito/sequences/CMS002_fastq.gz/CMS_002_16a_Rb_S121_L004_R1_001.fastq.gz,s3://czbiohub-mosquito/sequences/CMS002_fastq.gz/CMS_002_16a_Rb_S121_L004_R2_001.fastq.gz,CMS_002_16a_Rb_S121_L004,s3://czbiohub-mosquito/references/sourmash/signatures/CMS_002_16a_Rb_S121_L004.sig,True,True,False,"21,31,51",500
CMS_002_17a_Rb_S122_L004,s3://czbiohub-mosquito/sequences/CMS002_fastq.gz/CMS_002_17a_Rb_S122_L004_R1_001.fastq.gz,s3://czbiohub-mosquito/sequences/CMS002_fastq.gz/CMS_002_17a_Rb_S122_L004_R2_001.fastq.gz,CMS_002_17a_Rb_S122_L004,s3://czbiohub-mosquito/references/sourmash/signatures/CMS_002_17a_Rb_S122_L004.sig,True,True,False,"21,31,51",500
CMS_002_17b_Rb_S123_L004,s3://czbiohub-mosquito/sequences/CMS002_fastq.gz/CMS_002_17b_Rb_S123_L004_R1_001.fastq.gz,s3://czbiohub-mosquito/sequences/CMS002_fastq.gz/CMS_002_17b_Rb_S123_L004_R2_001.fastq.gz,CMS_002_17b_Rb_S123_L004,s3://czbiohub-mosquito/references/sourmash/signatures/CMS_002_17b_Rb_S123_L004.sig,True,True,False,"21,31,51",500
CMS_002_17c_Rb_S124_L004,s3://czbiohub-mosquito/sequences/CMS002_fastq.gz/CMS_002_17c_Rb_S124_L004_R1_001.fastq.gz,s3://czbiohub-mosquito/sequences/CMS002_fastq.gz/CMS_002_17c_Rb_S124_L004_R2_001.fastq.gz,CMS_002_17c_Rb_S124_L004,s3://czbiohub-mosquito/references/sourmash/signatures/CMS_002_17c_Rb_S124_L004.sig,True,True,False,"21,31,51",500
