id,read1,read2,name,output,trim_low_abundance_kmers,dna,protein,ksizes,scaled
CMS_002_17d_Rb_S125_L004,s3://czbiohub-mosquito/sequences/CMS002_fastq.gz/CMS_002_17d_Rb_S125_L004_R1_001.fastq.gz,s3://czbiohub-mosquito/sequences/CMS002_fastq.gz/CMS_002_17d_Rb_S125_L004_R2_001.fastq.gz,CMS_002_17d_Rb_S125_L004,s3://czbiohub-mosquito/references/sourmash/signatures/CMS_002_17d_Rb_S125_L004.sig,True,True,False,"21,31,51",500
CMS_002_17e_Rb_S126_L004,s3://czbiohub-mosquito/sequences/CMS002_fastq.gz/CMS_002_17e_Rb_S126_L004_R1_001.fastq.gz,s3://czbiohub-mosquito/sequences/CMS002_fastq.gz/CMS_002_17e_Rb_S126_L004_R2_001.fastq.gz,CMS_002_17e_Rb_S126_L004,s3://czbiohub-mosquito/references/sourmash/signatures/CMS_002_17e_Rb_S126_L004.sig,True,True,False,"21,31,51",500
CMS_002_18a_Rb_S128_L004,s3://czbiohub-mosquito/sequences/CMS002_fastq.gz/CMS_002_18a_Rb_S128_L004_R1_001.fastq.gz,s3://czbiohub-mosquito/sequences/CMS002_fastq.gz/CMS_002_18a_Rb_S128_L004_R2_001.fastq.gz,CMS_002_18a_Rb_S128_L004,s3://czbiohub-mosquito/references/sourmash/signatures/CMS_002_18a_Rb_S128_L004.sig,True,True,False,"21,31,51",500
CMS_002_18b_Rb_S129_L004,s3://czbiohub-mosquito/sequences/CMS002_fastq.gz/CMS_002_18b_Rb_S129_L004_R1_001.fastq.gz,s3://czbiohub-mosquito/sequences/CMS002_fastq.gz/CMS_002_18b_Rb_S129_L004_R2_001.fastq.gz,CMS_002_18b_Rb_S129_L004,s3://czbiohub-mosquito/references/sourmash/signatures/CMS_002_18b_Rb_S129_L004.sig,True,True,False,"21,31,51",500
CMS_002_19a_Rb_S130_L004,s3://czbiohub-mosquito/sequences/CMS002_fastq.gz/CMS_002_19a_Rb_S130_L004_R1_001.fastq.gz,s3://czbiohub-mosquito/sequences/CMS002_fastq.gz/CMS_002_19a_Rb_S130_L004_R2_001.fastq.gz,CMS_002_19a_Rb_S130_L004,s3://czbiohub-mosquito/references/sourmash/signatures/CMS_002_19a_Rb_S130_L004.sig,True,True,False,"21,31,51",500
CMS_002_1a_Rb_S116_L004,s3://czbiohub-mosquito/sequences/CMS002_fastq.gz/CMS_002_1a_Rb_S116_L004_R1_001.fastq.gz,s3://czbiohub-mosquito/sequences/CMS002_fastq.gz/CMS_002_1a_Rb_S116_L004_R2_001.fastq.gz,CMS_002_1a_Rb_S116_L004,s3://czbiohub-mosquito/references/sourmash/signatures/CMS_002_1a_Rb_S116_L004.sig,True,True,False,"21,31,51",500
CMS_002_20a_Rb_S131_L004,s3://czbiohub-mosquito/sequences/CMS002_fastq.gz/CMS_002_20a_Rb_S131_L004_R1_001.fastq.gz,s3://czbiohub-mosquito/sequences/CMS002_fastq.gz/CMS_002_20a_Rb_S131_L004_R2_001.fastq.gz,CMS_002_20a_Rb_S131_L004,s3://czbiohub-mosquito/references/sourmash/signatures/CMS_002_20a_Rb_S131_L004.sig,True,True,False,"21,31,51",500
CMS_002_20b_Rb_S132_L004,s3://czbiohub-mosquito/sequences/CMS002_fastq.gz/CMS_002_20b_Rb_S132_L004_R1_001.fastq.gz,s3://czbiohub-mosquito/sequences/CMS002_fastq.gz/CMS_002_20b_Rb_S132_L004_R2_001.fastq.gz,CMS_002_20b_Rb_S132_L004,s3://czbiohub-mosquito/references/sourmash/signatures/CMS_002_20b_Rb_S132_L004.sig,True,True,False,"21,31,51",500
CMS_002_20c_Rb_S133_L004,s3://czbiohub-mosquito/sequences/CMS002_fastq.gz/CMS_002_20c_Rb_S133_L004_R1_001.fastq.gz,s3://czbiohub-mosquito/sequences/CMS002_fastq.gz/CMS_002_20c_Rb_S133_L004_R2_001.fastq.gz,CMS_002_20c_Rb_S133_L004,s3://czbiohub-mosquito/references/sourmash/signatures/CMS_002_20c_Rb_S133_L004.sig,True,True,False,"21,31,51",500
CMS_002_20d_Rb_S134_L004,s3://czbiohub-mosquito/sequences/CMS002_fastq.gz/CMS_002_20d_Rb_S134_L004_R1_001.fastq.gz,s3://czbiohub-mosquito/sequences/CMS002_fastq.gz/CMS_002_20d_Rb_S134_L004_R2_001.fastq.gz,CMS_002_20d_Rb_S134_L004,s3://czbiohub-mosquito/references/sourmash/signatures/CMS_002_20d_Rb_S134_L004.sig,True,True,False,"21,31,51",500
