#Names	A11-MAA000577-3_8_M-1-1.fastq.gz	A1-MAA100039-3_11_M-1-1.fastq.gz	A10-B000971-3_39_F-1-1.fastq.gz	A12-D041914-3_8_M-1-1.fastq.gz	A12-B001717-3_38_F-1-1.fastq.gz	A1-MAA000487-3_10_M-1-1.fastq.gz	A10-B002775-3_39_F-1-1.fastq.gz	A11-D041914-3_8_M-1-1.fastq.gz	A10-D041914-3_8_M-1-1.fastq.gz	A11-MAA100041-3_9_M-1-1.fastq.gz	A11-MAA100140-3_57_F-1-1.fastq.gz	A10-MAA000559-3_8_M-1-1.fastq.gz	A12-D042253-3_9_M-1-1.fastq.gz	A11-MAA000559-3_8_M-1-1.fastq.gz	A12-MAA000559-3_8_M-1-1.fastq.gz	A1-B002764-3_38_F-1-1.fastq.gz	A1-D042253-3_9_M-1-1.fastq.gz	A1-MAA000779-3_11_M-1-1.fastq.gz	A12-MAA000508-3_9_M-1-1.fastq.gz
A11-MAA000577-3_8_M-1-1.fastq.gz	0.000000	0.043339	0.034489	0.036695	0.028755	0.040619	0.026611	0.040236	0.040636	0.041992	0.021318	0.027015	0.044195	0.024740	0.020619	0.010307	0.035580	0.016547	0.019358
A1-MAA100039-3_11_M-1-1.fastq.gz	0.043339	0.000000	0.036345	0.077680	0.048292	0.074420	0.043709	0.075784	0.093486	0.200580	0.052566	0.031598	0.097549	0.037677	0.035255	0.016244	0.082624	0.024043	0.037835
A10-B000971-3_39_F-1-1.fastq.gz	0.034489	0.036345	0.000000	0.053579	0.047174	0.042627	0.041957	0.049474	0.051281	0.040289	0.039957	0.043330	0.037215	0.042920	0.043808	0.034889	0.041327	0.035743	0.039698
A12-D041914-3_8_M-1-1.fastq.gz	0.036695	0.077680	0.053579	0.000000	0.046871	0.088793	0.052752	0.108119	0.112107	0.071893	0.036681	0.042351	0.101817	0.041664	0.040985	0.024243	0.093994	0.033653	0.043751
A12-B001717-3_38_F-1-1.fastq.gz	0.028755	0.048292	0.047174	0.046871	0.000000	0.045065	0.042148	0.053527	0.052482	0.048261	0.030534	0.031365	0.053499	0.037298	0.034430	0.025505	0.050789	0.033757	0.037438
A1-MAA000487-3_10_M-1-1.fastq.gz	0.040619	0.074420	0.042627	0.088793	0.045065	0.000000	0.051947	0.090521	0.099810	0.074763	0.032201	0.040131	0.101994	0.040545	0.033346	0.016873	0.090439	0.027326	0.040403
A10-B002775-3_39_F-1-1.fastq.gz	0.026611	0.043709	0.041957	0.052752	0.042148	0.051947	0.000000	0.048952	0.057760	0.053065	0.033377	0.037662	0.054019	0.039637	0.033321	0.027903	0.056887	0.028766	0.039082
A11-D041914-3_8_M-1-1.fastq.gz	0.040236	0.075784	0.049474	0.108119	0.053527	0.090521	0.048952	0.000000	0.137702	0.080492	0.035918	0.036394	0.105004	0.040899	0.042853	0.025671	0.097963	0.031530	0.043497
A10-D041914-3_8_M-1-1.fastq.gz	0.040636	0.093486	0.051281	0.112107	0.052482	0.099810	0.057760	0.137702	0.000000	0.093303	0.037869	0.043650	0.126539	0.046096	0.044460	0.027212	0.115771	0.034718	0.046972
A11-MAA100041-3_9_M-1-1.fastq.gz	0.041992	0.200580	0.040289	0.071893	0.048261	0.074763	0.053065	0.080492	0.093303	0.000000	0.070246	0.034153	0.099642	0.037246	0.038292	0.013609	0.093821	0.027105	0.048814
A11-MAA100140-3_57_F-1-1.fastq.gz	0.021318	0.052566	0.039957	0.036681	0.030534	0.032201	0.033377	0.035918	0.037869	0.070246	0.000000	0.032655	0.032191	0.030015	0.028240	0.051480	0.036076	0.028621	0.033423
A10-MAA000559-3_8_M-1-1.fastq.gz	0.027015	0.031598	0.043330	0.042351	0.031365	0.040131	0.037662	0.036394	0.043650	0.034153	0.032655	0.000000	0.034479	0.060713	0.067864	0.028654	0.035113	0.037138	0.039095
A12-D042253-3_9_M-1-1.fastq.gz	0.044195	0.097549	0.037215	0.101817	0.053499	0.101994	0.054019	0.105004	0.126539	0.099642	0.032191	0.034479	0.000000	0.035759	0.039800	0.015592	0.124594	0.029682	0.049821
A11-MAA000559-3_8_M-1-1.fastq.gz	0.024740	0.037677	0.042920	0.041664	0.037298	0.040545	0.039637	0.040899	0.046096	0.037246	0.030015	0.060713	0.035759	0.000000	0.061660	0.028195	0.042692	0.042932	0.042229
A12-MAA000559-3_8_M-1-1.fastq.gz	0.020619	0.035255	0.043808	0.040985	0.034430	0.033346	0.033321	0.042853	0.044460	0.038292	0.028240	0.067864	0.039800	0.061660	0.000000	0.027707	0.041732	0.044468	0.051662
A1-B002764-3_38_F-1-1.fastq.gz	0.010307	0.016244	0.034889	0.024243	0.025505	0.016873	0.027903	0.025671	0.027212	0.013609	0.051480	0.028654	0.015592	0.028195	0.027707	0.000000	0.022584	0.034694	0.025267
A1-D042253-3_9_M-1-1.fastq.gz	0.035580	0.082624	0.041327	0.093994	0.050789	0.090439	0.056887	0.097963	0.115771	0.093821	0.036076	0.035113	0.124594	0.042692	0.041732	0.022584	0.000000	0.031162	0.053301
A1-MAA000779-3_11_M-1-1.fastq.gz	0.016547	0.024043	0.035743	0.033653	0.033757	0.027326	0.028766	0.031530	0.034718	0.027105	0.028621	0.037138	0.029682	0.042932	0.044468	0.034694	0.031162	0.000000	0.045848
A12-MAA000508-3_9_M-1-1.fastq.gz	0.019358	0.037835	0.039698	0.043751	0.037438	0.040403	0.039082	0.043497	0.046972	0.048814	0.033423	0.039095	0.049821	0.042229	0.051662	0.025267	0.053301	0.045848	0.000000
