#Names	A11-MAA000577-3_8_M-1-1.fastq.gz	A1-MAA100039-3_11_M-1-1.fastq.gz	A10-B000971-3_39_F-1-1.fastq.gz	A12-D041914-3_8_M-1-1.fastq.gz	A12-B001717-3_38_F-1-1.fastq.gz	A1-MAA000487-3_10_M-1-1.fastq.gz	A10-B002775-3_39_F-1-1.fastq.gz	A11-D041914-3_8_M-1-1.fastq.gz	A10-D041914-3_8_M-1-1.fastq.gz	A11-MAA100041-3_9_M-1-1.fastq.gz	A11-MAA100140-3_57_F-1-1.fastq.gz	A10-MAA000559-3_8_M-1-1.fastq.gz	A12-D042253-3_9_M-1-1.fastq.gz	A11-MAA000559-3_8_M-1-1.fastq.gz	A12-MAA000559-3_8_M-1-1.fastq.gz	A1-B002764-3_38_F-1-1.fastq.gz	A1-D042253-3_9_M-1-1.fastq.gz	A1-MAA000779-3_11_M-1-1.fastq.gz	A12-MAA000508-3_9_M-1-1.fastq.gz
A11-MAA000577-3_8_M-1-1.fastq.gz	0.000000	0.033373	0.033035	0.028415	0.024378	0.031357	0.016382	0.029713	0.035018	0.037053	0.015948	0.029331	0.034253	0.017140	0.017659	0.009293	0.026894	0.020176	0.015577
A1-MAA100039-3_11_M-1-1.fastq.gz	0.033373	0.000000	0.048034	0.058825	0.033663	0.055724	0.032984	0.055833	0.071970	0.199351	0.047718	0.035610	0.080759	0.028969	0.027889	0.011751	0.066117	0.023521	0.037252
A10-B000971-3_39_F-1-1.fastq.gz	0.033035	0.048034	0.000000	0.041770	0.039038	0.039521	0.033805	0.049414	0.055027	0.032860	0.033104	0.042695	0.040468	0.038903	0.032724	0.032398	0.035970	0.036438	0.037504
A12-D041914-3_8_M-1-1.fastq.gz	0.028415	0.058825	0.041770	0.000000	0.038082	0.075905	0.019786	0.078790	0.094525	0.074821	0.022175	0.034216	0.084449	0.035908	0.045908	0.023671	0.081025	0.025031	0.037892
A12-B001717-3_38_F-1-1.fastq.gz	0.024378	0.033663	0.039038	0.038082	0.000000	0.030565	0.028924	0.032838	0.053988	0.051312	0.023636	0.036218	0.049868	0.027852	0.026355	0.030280	0.035899	0.017955	0.046612
A1-MAA000487-3_10_M-1-1.fastq.gz	0.031357	0.055724	0.039521	0.075905	0.030565	0.000000	0.029337	0.086427	0.096574	0.066286	0.018334	0.030094	0.087781	0.029422	0.030986	0.021869	0.078066	0.027693	0.044059
A10-B002775-3_39_F-1-1.fastq.gz	0.016382	0.032984	0.033805	0.019786	0.028924	0.029337	0.000000	0.037735	0.045103	0.050393	0.004804	0.025092	0.048334	0.021383	0.025150	0.028901	0.036142	0.025137	0.046487
A11-D041914-3_8_M-1-1.fastq.gz	0.029713	0.055833	0.049414	0.078790	0.032838	0.086427	0.037735	0.000000	0.117797	0.078176	0.032262	0.026588	0.097470	0.027989	0.021624	0.022776	0.077863	0.025673	0.037103
A10-D041914-3_8_M-1-1.fastq.gz	0.035018	0.071970	0.055027	0.094525	0.053988	0.096574	0.045103	0.117797	0.000000	0.096812	0.046955	0.045063	0.109803	0.030410	0.029965	0.034124	0.106874	0.035390	0.048918
A11-MAA100041-3_9_M-1-1.fastq.gz	0.037053	0.199351	0.032860	0.074821	0.051312	0.066286	0.050393	0.078176	0.096812	0.000000	0.069095	0.036007	0.085668	0.029776	0.034009	0.018339	0.090205	0.036007	0.048684
A11-MAA100140-3_57_F-1-1.fastq.gz	0.015948	0.047718	0.033104	0.022175	0.023636	0.018334	0.004804	0.032262	0.046955	0.069095	0.000000	0.030076	0.017818	0.016059	0.014581	0.053374	0.035085	0.022202	0.035617
A10-MAA000559-3_8_M-1-1.fastq.gz	0.029331	0.035610	0.042695	0.034216	0.036218	0.030094	0.025092	0.026588	0.045063	0.036007	0.030076	0.000000	0.044764	0.063640	0.064476	0.029821	0.033321	0.041976	0.039856
A12-D042253-3_9_M-1-1.fastq.gz	0.034253	0.080759	0.040468	0.084449	0.049868	0.087781	0.048334	0.097470	0.109803	0.085668	0.017818	0.044764	0.000000	0.028057	0.035738	0.012251	0.108703	0.029682	0.042437
A11-MAA000559-3_8_M-1-1.fastq.gz	0.017140	0.028969	0.038903	0.035908	0.027852	0.029422	0.021383	0.027989	0.030410	0.029776	0.016059	0.063640	0.028057	0.000000	0.053491	0.024914	0.028569	0.057508	0.056470
A12-MAA000559-3_8_M-1-1.fastq.gz	0.017659	0.027889	0.032724	0.045908	0.026355	0.030986	0.025150	0.021624	0.029965	0.034009	0.014581	0.064476	0.035738	0.053491	0.000000	0.032821	0.032065	0.033290	0.054626
A1-B002764-3_38_F-1-1.fastq.gz	0.009293	0.011751	0.032398	0.023671	0.030280	0.021869	0.028901	0.022776	0.034124	0.018339	0.053374	0.029821	0.012251	0.024914	0.032821	0.000000	0.015076	0.015230	0.027871
A1-D042253-3_9_M-1-1.fastq.gz	0.026894	0.066117	0.035970	0.081025	0.035899	0.078066	0.036142	0.077863	0.106874	0.090205	0.035085	0.033321	0.108703	0.028569	0.032065	0.015076	0.000000	0.039848	0.047146
A1-MAA000779-3_11_M-1-1.fastq.gz	0.020176	0.023521	0.036438	0.025031	0.017955	0.027693	0.025137	0.025673	0.035390	0.036007	0.022202	0.041976	0.029682	0.057508	0.033290	0.015230	0.039848	0.000000	0.034402
A12-MAA000508-3_9_M-1-1.fastq.gz	0.015577	0.037252	0.037504	0.037892	0.046612	0.044059	0.046487	0.037103	0.048918	0.048684	0.035617	0.039856	0.042437	0.056470	0.054626	0.027871	0.047146	0.034402	0.000000
