#Names	A11-MAA000577-3_8_M-1-1.fastq.gz	A1-MAA100039-3_11_M-1-1.fastq.gz	A10-B000971-3_39_F-1-1.fastq.gz	A12-D041914-3_8_M-1-1.fastq.gz	A12-B001717-3_38_F-1-1.fastq.gz	A1-MAA000487-3_10_M-1-1.fastq.gz	A10-B002775-3_39_F-1-1.fastq.gz	A11-D041914-3_8_M-1-1.fastq.gz	A10-D041914-3_8_M-1-1.fastq.gz	A11-MAA100041-3_9_M-1-1.fastq.gz	A11-MAA100140-3_57_F-1-1.fastq.gz	A10-MAA000559-3_8_M-1-1.fastq.gz	A12-D042253-3_9_M-1-1.fastq.gz	A11-MAA000559-3_8_M-1-1.fastq.gz	A12-MAA000559-3_8_M-1-1.fastq.gz	A1-B002764-3_38_F-1-1.fastq.gz	A1-D042253-3_9_M-1-1.fastq.gz	A1-MAA000779-3_11_M-1-1.fastq.gz	A12-MAA000508-3_9_M-1-1.fastq.gz
A11-MAA000577-3_8_M-1-1.fastq.gz	0.000000	0.061227	0.061626	0.040817	0.035917	0.050010	0.028092	0.058165	0.066317	0.043217	0.008507	0.038036	0.045941	0.037677	0.023930	0.014397	0.054057	0.018163	0.018973
A1-MAA100039-3_11_M-1-1.fastq.gz	0.061227	0.000000	0.054293	0.078313	0.048452	0.071420	0.036329	0.089003	0.109492	0.202404	0.037138	0.025126	0.102652	0.063032	0.058012	0.027119	0.076982	0.021047	0.048279
A10-B000971-3_39_F-1-1.fastq.gz	0.061626	0.054293	0.000000	0.036704	0.051836	0.027702	0.047017	0.082791	0.057421	0.028062	0.014725	0.045559	0.046719	0.070674	0.058562	0.047758	0.041246	0.016447	0.030952
A12-D041914-3_8_M-1-1.fastq.gz	0.040817	0.078313	0.036704	0.000000	0.026740	0.049917	0.059129	0.108989	0.087778	0.058323	0.049864	0.041330	0.089889	0.048440	0.038536	0.015471	0.095506	0.019044	0.027930
A12-B001717-3_38_F-1-1.fastq.gz	0.035917	0.048452	0.051836	0.026740	0.000000	0.040757	0.058160	0.064309	0.058501	0.057012	0.029228	0.028178	0.071865	0.049887	0.053522	0.011963	0.056225	0.046277	0.033213
A1-MAA000487-3_10_M-1-1.fastq.gz	0.050010	0.071420	0.027702	0.049917	0.040757	0.000000	0.044586	0.088846	0.079286	0.058189	0.003277	0.040170	0.101274	0.052483	0.045025	0.023804	0.075599	0.017875	0.040182
A10-B002775-3_39_F-1-1.fastq.gz	0.028092	0.036329	0.047017	0.059129	0.058160	0.044586	0.000000	0.038339	0.041613	0.035640	0.023998	0.020924	0.054394	0.053856	0.034894	0.008849	0.075029	0.028515	0.051067
A11-D041914-3_8_M-1-1.fastq.gz	0.058165	0.089003	0.082791	0.108989	0.064309	0.088846	0.038339	0.000000	0.112588	0.058943	0.020046	0.048105	0.095938	0.035859	0.049356	0.036394	0.092393	0.029593	0.033936
A10-D041914-3_8_M-1-1.fastq.gz	0.066317	0.109492	0.057421	0.087778	0.058501	0.079286	0.041613	0.112588	0.000000	0.081633	0.004079	0.014451	0.101571	0.043756	0.047324	0.020143	0.097270	0.029417	0.033204
A11-MAA100041-3_9_M-1-1.fastq.gz	0.043217	0.202404	0.028062	0.058323	0.057012	0.058189	0.035640	0.058943	0.081633	0.000000	0.045808	0.027052	0.072051	0.044139	0.052312	0.006761	0.122541	0.017968	0.030044
A11-MAA100140-3_57_F-1-1.fastq.gz	0.008507	0.037138	0.014725	0.049864	0.029228	0.003277	0.023998	0.020046	0.004079	0.045808	0.000000	0.013705	0.000000	0.000000	0.035488	0.039395	0.007860	0.017891	0.013260
A10-MAA000559-3_8_M-1-1.fastq.gz	0.038036	0.025126	0.045559	0.041330	0.028178	0.040170	0.020924	0.048105	0.014451	0.027052	0.013705	0.000000	0.035838	0.044467	0.043654	0.016276	0.026456	0.029118	0.000000
A12-D042253-3_9_M-1-1.fastq.gz	0.045941	0.102652	0.046719	0.089889	0.071865	0.101274	0.054394	0.095938	0.101571	0.072051	0.000000	0.035838	0.000000	0.030608	0.024507	0.011867	0.098789	0.029173	0.054377
A11-MAA000559-3_8_M-1-1.fastq.gz	0.037677	0.063032	0.070674	0.048440	0.049887	0.052483	0.053856	0.035859	0.043756	0.044139	0.000000	0.044467	0.030608	0.000000	0.068694	0.045136	0.051238	0.033567	0.029235
A12-MAA000559-3_8_M-1-1.fastq.gz	0.023930	0.058012	0.058562	0.038536	0.053522	0.045025	0.034894	0.049356	0.047324	0.052312	0.035488	0.043654	0.024507	0.068694	0.000000	0.023324	0.073373	0.039374	0.053806
A1-B002764-3_38_F-1-1.fastq.gz	0.014397	0.027119	0.047758	0.015471	0.011963	0.023804	0.008849	0.036394	0.020143	0.006761	0.039395	0.016276	0.011867	0.045136	0.023324	0.000000	0.020858	0.021451	0.018197
A1-D042253-3_9_M-1-1.fastq.gz	0.054057	0.076982	0.041246	0.095506	0.056225	0.075599	0.075029	0.092393	0.097270	0.122541	0.007860	0.026456	0.098789	0.051238	0.073373	0.020858	0.000000	0.043298	0.060940
A1-MAA000779-3_11_M-1-1.fastq.gz	0.018163	0.021047	0.016447	0.019044	0.046277	0.017875	0.028515	0.029593	0.029417	0.017968	0.017891	0.029118	0.029173	0.033567	0.039374	0.021451	0.043298	0.000000	0.035744
A12-MAA000508-3_9_M-1-1.fastq.gz	0.018973	0.048279	0.030952	0.027930	0.033213	0.040182	0.051067	0.033936	0.033204	0.030044	0.013260	0.000000	0.054377	0.029235	0.053806	0.018197	0.060940	0.035744	0.000000
